date,country,election,status
"Oct. 15, 2021",Czech Republic,Election for Poslanecká Sněmovna (Czech Chamber of Deputies),Date not confirmed
"Sept. 23, 2021",Isle of Man,Election for Isle of Man House of Keys,Confirmed
"Sept. 19, 2021",Russian Federation,Election for Gosudarstvennaya Duma (Russian Federal Duma),Date not confirmed
"Sept. 13, 2021",Kingdom of Norway,Election for Storting (Norwegian Parliament),Confirmed
"Sept. 5, 2021",Hong Kong Special Administrative Region,Election for Hong Kong Legislative Council,Postponed
"Aug. 31, 2021",Federal Republic of Somalia,Election for Somali House of the People,Postponed
"Aug. 12, 2021",Republic of Zambia,Election for Zambian National Assembly,Date not confirmed
"Aug. 12, 2021",Republic of Zambia,Election for President,Date not confirmed
"July 31, 2021",Democratic Republic of Sao Tome and Principe,Election for President,Date not confirmed
"June 30, 2021",Saint Lucia,Election for Saint Lucian House of Representatives,Date not confirmed
"June 30, 2021",Kyrgyz Republic,Election for Jorgorku Kenesh (Kyrgyz Supreme Council),Date not confirmed
"June 18, 2021",Islamic Republic of Iran,Election for President,Confirmed
"June 9, 2021",Mongolia,Election for President,Confirmed
"June 6, 2021",United Mexican States,Election for Camara de Diputados (Mexican Chamber of Deputies),Confirmed
"June 6, 2021",Republic of Iraq,Election for Majlis an-Nuwwab al-`Iraqiyy (Iraqi Council of Representatives),Confirmed
"June 5, 2021",Republic of The Gambia,Referendum,Confirmed
"June 5, 2021",Federal Democratic Republic of Ethiopia,Election for Yehizb Tewokayoch Mekir Bete (Ethiopian House of People's Representatives),Postponed
"May 31, 2021",Republic of Mali,Referendum,Date not confirmed
"May 26, 2021",Cayman Islands,Election for Cayman Legislative Assembly,Confirmed
"May 23, 2021",Socialist Republic of Vietnam,Election for Quoc-Hoi (Vietnamese National Assembly),Date not confirmed
"May 23, 2021",Republic of Cyprus,Election for Vouli Antiprosopon (Cypriot House of Representatives),Date not confirmed
"May 16, 2021",Syrian Arab Republic,Election for President,Date not confirmed
"May 6, 2021",Scotland,Election for Pàrlamaid na h-Alba (Scottish Parliament),Confirmed
"May 6, 2021",Wales,Election for Cynulliad Cenedlaethol Cymru (National Assembly for Wales),Confirmed
"May 6, 2021",Scotland,Election for Pàrlamaid na h-Alba (Scottish Parliament),Confirmed
"April 30, 2021",Republic of Chad,Election for President,Confirmed
"April 30, 2021",Republic of Djibouti,Election for President,Date not confirmed
"April 30, 2021",Republic of Benin,Election for President,Confirmed
"April 25, 2021",Republic of Albania,Election for Kuvendi i Shqipërisë (Parliament of Albania),Confirmed
"April 11, 2021",Republic of Peru,Election for Congreso de la República (Peruvian Congress of the Republic),Confirmed
"April 11, 2021",Republic of Peru,Election for Congreso de la República (Peruvian Congress of the Republic),Confirmed
"April 9, 2021",Independent State of Samoa,Election for Fono (Samoan Legislative Assembly),Confirmed
"April 6, 2021",Greenland,Election for Kalaallit Nunaanni Inatsisartut (Greenland Diet),Confirmed
"March 31, 2021",Republic of Cabo Verde,Election for President,Date not confirmed
"March 31, 2021",Republic of the Congo,Election for President,Confirmed
"March 31, 2021",Republic of Cabo Verde,Election for Assembleia Nacional (Cabo Verdean National Assembly),Date not confirmed
"March 28, 2021",Republic of Bulgaria,Election for Narodno Sabranie (Bulgarian National Assembly),Date not confirmed
"March 23, 2021",State of Israel,Election for Knesset (Israeli Knesset),Confirmed
"March 19, 2021",Country of Curacao,Election for Staten van Curacao (Estates of Curacao),Confirmed
"March 17, 2021",Kingdom of the Netherlands,Election for Tweede Kamer (Dutch Second Chamber),Confirmed
"March 2, 2021",Federated States Of Micronesia,Election for Congress of the Federated States of Micronesia,Confirmed
"Feb. 28, 2021",Republic of El Salvador,Election for Asamblea Legislativa (Salvadorian Legislative Assembly),Confirmed
"Feb. 21, 2021",Republic of Niger,Election for President,Second Round if needed
"Feb. 21, 2021",Lao People's Democratic Republic,Election for Sapha Heng Xat (Laotian National Assembly),Date not confirmed
"Feb. 19, 2021",Turks and Caicos Islands,Election for Turks and Caicos House of Assembly,Confirmed
"Feb. 14, 2021",Central African Republic,Election for President,Second Round if needed
"Feb. 7, 2021",Principality of Liechtenstein,Election for Landtag (Liechtenstein Parliament),Date not confirmed
"Feb. 7, 2021",Republic of Ecuador,Election for President,Confirmed
"Feb. 7, 2021",Republic of Ecuador,Election for Congreso Nacional (Ecuadorian National Congress),Confirmed
"Jan. 25, 2021",Republic of Trinidad and Tobago,Election for Tobago House of Assembly,Confirmed
"Jan. 24, 2021",Portuguese Republic,Election for President,Confirmed
"Jan. 14, 2021",Republic of Uganda,Election for President,Held
"Jan. 14, 2021",Republic of Uganda,Election for Parliament (Ugandan National Assembly),Confirmed
"Jan. 10, 2021",Republic of Kazakhstan,Election for Mazhilis (Kazakh House of Representatives),Held
"Jan. 10, 2021",Kyrgyz Republic,Election for President,Confirmed
"Jan. 10, 2021",Kyrgyz Republic,Referendum,Confirmed
"Jan. 5, 2021",United States of America,Election for US Senate,Confirmed
"Dec. 27, 2020",Republic of Niger,Election for President,Held
"Dec. 27, 2020",Central African Republic,Election for Assemblée Nationale (Central African National Assembly),Confirmed
"Dec. 27, 2020",Republic of Niger,Election for Assemblée Nationale (Nigerien National Assembly),Held
"Dec. 27, 2020",Central African Republic,Election for President,Confirmed
"Dec. 8, 2020",Republic of Liberia,Election for Liberian Senate,Confirmed
"Dec. 7, 2020",Republic of Ghana,Election for Ghanaian Parliament,Confirmed
"Dec. 7, 2020",Republic of Ghana,Election for President,Confirmed
"Dec. 6, 2020",Romania,Election for Senat (Romanian Senate),Held
"Dec. 6, 2020",Bolivarian Republic of Venezuela,Election for Asamblea Nacional (Venezuelan National Assembly),Confirmed
"Dec. 6, 2020",Romania,Election for Camera Deputaţilor (Romanian Chamber of Deputies),Held
"Dec. 5, 2020",State of Kuwait,Election for Majlis al-Umma (Kuwaiti National Assembly),Confirmed
"Nov. 22, 2020",Burkina Faso,Election for President,Confirmed
"Nov. 22, 2020",Burkina Faso,Referendum,Date not confirmed
"Nov. 22, 2020",Burkina Faso,Election for Assemblée Nationale (Burkinabe National Assembly),Confirmed
"Nov. 17, 2020",Territory of Guam,Election for Non-Voting Delegate to US House of Representatives,Held
"Nov. 15, 2020",Republic of Moldova,Election for President,Held
"Nov. 11, 2020",Belize,Election for Belizean House of Representatives,Held
"Nov. 10, 2020",Hashemite Kingdom of Jordan,Election for Majlis al-Nuwaab (Jordanian House of Deputies),Held
"Nov. 8, 2020",Union of Myanmar,Election for Pyithu Hluttaw (Myanmarese House of Representatives),Held
"Nov. 8, 2020",Union of Myanmar,Election for Amyotha Hluttaw (Myanmarese House of Nationalities),Held
"Nov. 5, 2020",Saint Vincent and the Grenadines,Election for Saint Vincentian House of Assembly,Held
"Nov. 3, 2020",United States of America,Election for US Senate,Held
"Nov. 3, 2020",Territory of Guam,Election for Liheslaturan Guåhan (Legislature of Guam),Confirmed
"Nov. 3, 2020",Commonwealth of Puerto Rico,Election for Senado (Puerto Rican Senate),Held
"Nov. 3, 2020",Commonwealth of Puerto Rico,Election for Cámara de Representantes (Puerto Rican House of Representatives),Confirmed
"Nov. 3, 2020",Republic of Palau,Election for Palauan Senate,Confirmed
"Nov. 3, 2020",Commonwealth of Puerto Rico,Election for Puerto Rican Governor,Confirmed
"Nov. 3, 2020",United States of America,Election for President,Held
"Nov. 3, 2020",Republic of Palau,Referendum,Date not confirmed
"Nov. 3, 2020",Republic of Palau,Election for Palauan House of Delegates,Confirmed
"Nov. 3, 2020",United States of America,Election for US House of Representatives,Held
"Nov. 3, 2020",Territory of Guam,Election for Non-Voting Delegate to US House of Representatives,Confirmed
"Nov. 1, 2020",Republic of Moldova,Election for President,Date not confirmed
"Oct. 31, 2020",Republic of Côte d'Ivoire,Election for Assemblee Nationale (Ivoirian National Assembly),Confirmed
"Oct. 31, 2020",Georgia,Election for Sakartvelos Parlamenti (Georgian Parliament),Confirmed
"Oct. 31, 2020",Autonomous Community of Galicia,Election for Parlamento de Galicia (Parliament of Galicia),Date not confirmed
"Oct. 28, 2020",United Republic of Tanzania,Election for Bunge (Tanzanian National Assembly),Confirmed
"Oct. 28, 2020",United Republic of Tanzania,Election for President,Held
"Oct. 25, 2020",Republic of Chile,Referendum,Held
"Oct. 24, 2020",Arab Republic of Egypt,Election for Majlis Al-Sha'b (Egyptian People's Assembly),Confirmed
"Oct. 22, 2020",Republic of Seychelles,Election for President,Confirmed
"Oct. 22, 2020",Republic of Seychelles,Election for Assemblée Nationale (Seychellois National Assembly),Held
"Oct. 18, 2020",Plurinational State of Bolivia,Election for President,Held
"Oct. 18, 2020",Republic of Guinea,Election for President,Confirmed
"Oct. 18, 2020",Plurinational State of Bolivia,Election for Camara de Senadores (Bolivian Chamber of Senators),Confirmed
"Oct. 18, 2020",Plurinational State of Bolivia,Election for Camara de Diputados (Bolivian Chamber of Deputies),Confirmed
"Oct. 17, 2020",New Zealand,Referendum,Confirmed
"Oct. 17, 2020",New Zealand,Election for New Zealand House of Representatives,Held
"Oct. 11, 2020",Republic of Lithuania,Election for Seimas (Lithuanian Parliament),Date not confirmed
"Oct. 11, 2020",Republic of Tajikistan,Election for President,Confirmed
"Oct. 11, 2020",Turkish Republic of Northern Cyprus (TRNC),Election for President,Postponed
"Oct. 4, 2020",Kyrgyz Republic,Election for Jorgorku Kenesh (Kyrgyz Supreme Council),Confirmed
"Oct. 4, 2020",Territory of New Caledonia and Dependencies,Referendum,Confirmed
"Oct. 1, 2020",Bermuda,Election for Bermudian House of Assembly,Held
"Sept. 24, 2020",Falkland Islands (Malvinas),Referendum,Confirmed
"Sept. 11, 2020",Islamic Republic of Iran,Election for Majles-e-Shura-ye-Eslami (Iranian Islamic Consultative Assembly),Confirmed
"Sept. 8, 2020",Arab Republic of Egypt,Election for Egyptian Senate,Held
"Sept. 3, 2020",Jamaica,Election for Jamaican House of Representatives,Held
"Aug. 30, 2020",Montenegro,Election for Skupstina (Montenegrin Assembly),Confirmed
"Aug. 11, 2020",Arab Republic of Egypt,Election for Egyptian Senate,Confirmed
"Aug. 10, 2020",Republic of Trinidad and Tobago,Election for Trinidadian House of Representatives,Held
"Aug. 9, 2020",Republic of Belarus,Election for President,Held
"Aug. 5, 2020",Democratic Socialist Republic of Sri Lanka,Election for Sri Lankan Parliament,Held
"July 19, 2020",Syrian Arab Republic,Election for Majlis al-Shaab (Syrian People's Council),Held
"July 15, 2020",Republic of North Macedonia,Election for Sobranie (North Macedonian Assembly ),Held
"July 12, 2020",Basque Country,Election for Eusko Legebiltzarra (Basque Parliament),Held
"July 12, 2020",Republic of Poland,Election for President,Held
"July 10, 2020",Republic of Singapore,Election for Singapore Parliament,Held
"July 5, 2020",Republic of Croatia,Election for Hrvatski Sabor (Croatian Assembly),Held
"July 5, 2020",Dominican Republic,Election for Senado (Dominican Senate),Held
"July 5, 2020",Dominican Republic,Election for Camara de Diputados (Dominican Chamber of Deputies),Held
"July 5, 2020",Dominican Republic,Election for President,Held
"July 1, 2020",Russian Federation,Referendum,Held
"June 28, 2020",Republic of Poland,Election for President,Held
"June 27, 2020",Republic of Iceland,Election for President,Held
"June 24, 2020",Mongolia,Election for Ulsyn Ikh Khural (Mongolian State Great Hural),Held
"June 23, 2020",Republic of Malawi,Election for President,Confirmed
"June 21, 2020",Republic of Serbia,Election for Narodna skupština (Serbian National Assembly),Held
"June 5, 2020",Federation of Saint Kitts and Nevis,Election for Kittitian and Nevisian National Assembly,Confirmed
"May 31, 2020",Niue,Election for Niue Fono Ekepule (Niuean Assembly),Held
"May 25, 2020",Republic of Suriname,Election for Nationale Assemblée (Surinamese National Assembly),Held
"May 20, 2020",Republic of Burundi,Election for President,Held
"May 20, 2020",Republic of Burundi,Election for Assemblee National (Burundian National Assembly),Held
"April 19, 2020",Republic of Mali,Election for Assemblée Nationale (Malian National Assembly),Second Round if needed
"April 15, 2020",Republic of Korea,Election for Kukhoe (South Korean National Assembly),Held
"April 14, 2020",Republic of Kiribati,Election for Maneaba ni Maungatabu (Kiribati House of Assembly),Held
"April 14, 2020",Republic of Kiribati,Election for Maneaba ni Maungatabu (Kiribati House of Assembly),Held
"April 5, 2020",Republic of Armenia,Referendum,Postponed
"March 29, 2020",Republic of Mali,Election for Assemblée Nationale (Malian National Assembly),Confirmed
"March 22, 2020",Republic of Guinea,Referendum,Held
"March 22, 2020",Republic of Guinea,Election for Assemblée Nationale (Guinean National Assembly),Held
"March 19, 2020",Republic of Vanuatu,Election for Ni-Vanuatu Parliament,Held
"March 2, 2020",Cooperative Republic of Guyana,Election for Guyanese National Assembly,Held
"March 2, 2020",State of Israel,Election for Knesset (Israeli Knesset),Held
"March 1, 2020",Republic of Tajikistan,Election for Majlisi Namoyandagon (Tajikistan Assembly of Representatives),Held
"Feb. 29, 2020",Slovak Republic,Election for Národná rada (Slovak National Council),Held
"Feb. 28, 2020",Islamic Republic of Iran,Election for Majles-e-Shura-ye-Eslami (Iranian Islamic Consultative Assembly),Held
"Feb. 23, 2020",Union of the Comoros,Election for Assemblée de l'Union (Comoran Assembly of the Union),Held
"Feb. 22, 2020",Togolese Republic,Election for President,Held
"Feb. 9, 2020",Republic of Cameroon,Election for Assemblée Nationale (Cameroonian National Assembly),Held
"Feb. 9, 2020",Republic of Azerbaijan,Election for Milli Məclis (Azerbaijani National Assembly),Held
"Feb. 8, 2020",Ireland,Election for Dáil Éireann (Irish House of Representatives),Held
"Jan. 26, 2020",Republic of Peru,Election for Congreso de la República (Peruvian Congress of the Republic),Held
"Jan. 23, 2020",Tokelau,Election for General Fono (Tokelauan Parliament),Held
"Jan. 19, 2020",Union of the Comoros,Election for Assemblée de l'Union (Comoran Assembly of the Union),Confirmed
"Jan. 11, 2020",Republic of China,Election for President,Held
"Jan. 11, 2020",Republic of China,Election for Taiwanese Legislative Yuan,Held
"Jan. 5, 2020",Republic of Croatia,Election for President,Second Round if needed
"Dec. 22, 2019",Republic of Croatia,Election for President,Confirmed
"Dec. 22, 2019",Republic of Uzbekistan,Election for Qonunchilik palatasi (Uzbekistani Legislative Chamber),Confirmed
"Dec. 15, 2019",Plurinational State of Bolivia,Election for President,Second Round if needed
"Dec. 12, 2019",United Kingdom of Great Britain and Northern Ireland,Election for British House of Commons,Snap
"Dec. 12, 2019",People's Democratic Republic of Algeria,Election for President,Confirmed
"Dec. 8, 2019",Republic of San Marino,Election for Consiglio Grande e Generale (Sammarinese Grand and General Council),Date not confirmed
"Dec. 8, 2019",Republic of Guinea-Bissau,Election for President,Date not confirmed
"Dec. 6, 2019",Commonwealth of Dominica,Election for Dominican House of Assembly,Confirmed
"Nov. 30, 2019",Republic of Somaliland,Election for Golaha Wakiilada (Somaliland House of Representatives),Date not confirmed
"Nov. 27, 2019",Republic of Namibia,Election for President,Confirmed
"Nov. 27, 2019",Republic of Namibia,Election for Namibian National Assembly,Confirmed
"Nov. 24, 2019",Republic of Guinea-Bissau,Election for President,Confirmed
"Nov. 24, 2019",Romania,Election for President,Confirmed
"Nov. 24, 2019",Oriental Republic of Uruguay,Election for President,Confirmed
"Nov. 23, 2019",Independent State of Papua New Guinea,Referendum,Postponed
"Nov. 20, 2019",Federal Democratic Republic of Ethiopia,Referendum,Postponed
"Nov. 18, 2019",Republic of the Marshall Islands,Election for Nitijela (Marshallese Parliament),Confirmed
"Nov. 17, 2019",Republic of Belarus,Election for Palata Predstaviteley (Belarusian Chamber of Representatives),Held
"Nov. 16, 2019",Democratic Socialist Republic of Sri Lanka,Election for President,Held
"Nov. 10, 2019",Kingdom of Spain,Election for Senado (Spanish Senate),Held
"Nov. 10, 2019",Kingdom of Spain,Election for Congreso de los Diputados (Spanish Congress of Deputies),Held
"Nov. 10, 2019",Romania,Election for President,Held
"Nov. 6, 2019",Republic of Mauritius,Election for Assemblée Nationale (Mauritian National Assembly),Confirmed
"Oct. 27, 2019",Argentine Republic,Election for Cámara de Diputados (Argentinian Chamber of Deputies),Held
"Oct. 27, 2019",Argentine Republic,Election for Senado (Argentinian Senate),Held
"Oct. 27, 2019",Republic of Haiti,Election for Chambre des Députés (Haitian Chamber of Deputies),Postponed
"Oct. 27, 2019",Republic of Haiti,Election for Sénat (Haitian Senate),Postponed
"Oct. 27, 2019",Oriental Republic of Uruguay,Election for President,Confirmed
"Oct. 27, 2019",Sultanate of Oman,Election for Majlis al-Shura (Omani Consultative Assembly),Held
"Oct. 27, 2019",Argentine Republic,Election for President,Held
"Oct. 27, 2019",Oriental Republic of Uruguay,Referendum,Confirmed
"Oct. 27, 2019",Oriental Republic of Uruguay,Election for Cámara de Senadores (Uruguayan Chamber of Senators),Confirmed
"Oct. 27, 2019",Oriental Republic of Uruguay,Election for Cámara de Representantes (Uruguayan Chamber of Representatives),Confirmed
"Oct. 23, 2019",Republic of Bostwana,Election for Botswana National Assembly,Confirmed
"Oct. 23, 2019",Republic of Bostwana,Election for President,Date not confirmed
"Oct. 21, 2019",Canada,Election for Chambre des Communes (Canadian House of Commons),Confirmed
"Oct. 20, 2019",Plurinational State of Bolivia,Election for Camara de Diputados (Bolivian Chamber of Deputies),Confirmed
"Oct. 20, 2019",Plurinational State of Bolivia,Election for President,Confirmed
"Oct. 20, 2019",Swiss Confederation,Election for Standerat/Conseil des Etats/ Consiglio degli Stati (Swiss Council of States),Held
"Oct. 20, 2019",Swiss Confederation,Election for Nationalrat/Conseil National/Consiglio Nazionale (Swiss National Council),Held
"Oct. 20, 2019",Plurinational State of Bolivia,Election for Camara de Senadores (Bolivian Chamber of Senators),Confirmed
"Oct. 19, 2019",Territory of the Cocos (Keeling) Islands,Election for Cocos (Keeling) Islands Shire Council (Cocos (Keeling) Islands Shire Council),Confirmed
"Oct. 17, 2019",Gibraltar,Election for Gibraltarian Parliament,Held
"Oct. 15, 2019",Republic of Mozambique,Election for Assembleia da República (Mozambican Assembly ),Held
"Oct. 15, 2019",Republic of Mozambique,Election for President,Held
"Oct. 13, 2019",Tunisian Republic,Election for President,Held
"Oct. 13, 2019",Republic of Poland,Election for Sejm (Polish Sejm),Held
"Oct. 13, 2019",Republic of Poland,Election for Senat (Polish Senate),Held
"Oct. 6, 2019",Tunisian Republic,Election for Majlis Nawwab ash-Sha'ab (Tunisian Assembly of People's Representatives),Held
"Oct. 6, 2019",Portuguese Republic,Election for Assembleia da República (Portuguese Assembly of the Republic),Held
"Oct. 6, 2019",Republic of Kosovo,Election for Kuvendi i Kosovës/Skupština Kosova (Kosovac Assembly),Held
"Oct. 5, 2019",United Arab Emirates,Election for Majlis al-Ittihad al-Watani (Emirati Federal National Council),Held
"Sept. 30, 2019",Montserrat,Election for Montserratian Legislative Council,Date not confirmed
"Sept. 29, 2019",Republic of Austria,Election for Nationalrat (Austrian National Council),Held
"Sept. 28, 2019",Islamic Republic of Afghanistan,Election for President,Held
"Sept. 17, 2019",State of Israel,Election for Knesset (Israeli Knesset),Held
"Sept. 15, 2019",Tunisian Republic,Election for President,Held
"Sept. 9, 2019",Tuvalu,Election for Fale I Fono (Tuvaluan House of Assembly ),Held
"Aug. 31, 2019",Faroe Islands,Election for Løgting (Faroese Parliament),Held
"Aug. 24, 2019",Republic of Nauru,Election for Nauruan Parliament,Held
"Aug. 11, 2019",Republic of Guatemala,Election for President,Held
"July 31, 2019",Republic of Madagascar,Referendum,Postponed
"July 21, 2019",Japan,Election for Sangiin (Japanese House of Councillors),Held
"July 21, 2019",Ukraine,Election for Verkhovna Rada (Ukrainian Supreme Council),Snap
"July 7, 2019",Hellenic Republic,Election for Vouli ton Ellinon (Greek Parliament),Held
"July 4, 2019",People's Democratic Republic of Algeria,Election for President,Cancelled
"June 22, 2019",Islamic Republic of Mauritania,Election for President,Held
"June 16, 2019",Republic of Guatemala,Election for Congreso de la Republica (Guatemalan Congress of the Republic),Held
"June 16, 2019",Republic of Guatemala,Election for President,Held
"June 9, 2019",Republic of Kazakhstan,Election for President,Held
"June 5, 2019",Kingdom of Denmark,Election for Folketinget (Danish Parliament),Held
"May 27, 2019",Republic of Madagascar,Election for Assemblée Nationale (Malagasy National Assembly),Confirmed
"May 26, 2019",Republic of Lithuania,Referendum,Held
"May 26, 2019",Kingdom of Belgium,Election for Volksvertegenwoordigers / Chambre des Representants (Belgian Chamber of Representatives),Held
"May 24, 2019",Ireland,Referendum,Held
"May 23, 2019",European Union,Election for European Parliament,Held
"May 21, 2019",Republic of Malawi,Election for President,Held
"May 21, 2019",Republic of Malawi,Election for Malawian National Assembly,Held
"May 19, 2019",Swiss Confederation,Referendum,Held
"May 18, 2019",Commonwealth of Australia,Election for Australian Senate,Held
"May 18, 2019",Commonwealth of Australia,Election for Australian House of Representatives,Held
"May 13, 2019",Republic of the Philippines,Election for Kapulungan Ng Mga Kinatawan (Philippine House of Representatives),Held
"May 13, 2019",Republic of the Philippines,Election for Senado (Philippine Senate),Held
"May 12, 2019",Republic of Lithuania,Election for President,Held
"May 8, 2019",Republic of South Africa,Election for South African National Assembly,Held
"May 8, 2019",Belize,Referendum,Held
"May 5, 2019",Republic of Panama,Election for Asamblea Nacional (Panamanian National Assembly),Held
"May 5, 2019",Republic of Panama,Election for President,Held
"April 28, 2019",Republic of Benin,Election for Assemblée Nationale (Beninese National Assembly),Held
"April 28, 2019",Kingdom of Spain,Election for Congreso de los Diputados (Spanish Congress of Deputies),Held
"April 28, 2019",Kingdom of Spain,Election for Senado (Spanish Senate),Held
"April 22, 2019",Arab Republic of Egypt,Referendum,Held
"April 21, 2019",Ukraine,Referendum,Held
"April 21, 2019",Republic of North Macedonia,Election for President,Held
"April 17, 2019",Republic of Indonesia,Election for President,Held
"April 17, 2019",Republic of Indonesia,Election for Dewan Perwakilan Daerah (Indonesian Regional Representative Council),Held
"April 17, 2019",Republic of Indonesia,Election for Dewan Perwakilan Rakyat (Indonesian House of Representatives),Held
"April 14, 2019",Republic of Finland,Election for Eduskunta (Finnish Parliament),Held
"April 11, 2019",Republic of India,Election for Lok Sabha (Indian People's Assembly),Held
"April 9, 2019",State of Israel,Election for Knesset (Israeli Knesset),Held
"April 7, 2019",Principality of Andorra,Election for Consell General d'Andorra (Andorran General Council),Held
"April 6, 2019",Republic of Maldives,Election for Majlis (Maldivian People's Council),Held
"April 3, 2019",Solomon Islands,Election for Solomon Islander National Parliament,Held
"March 31, 2019",Ukraine,Election for President,Held
"March 30, 2019",Slovak Republic,Election for President,Held
"March 24, 2019",Union of the Comoros,Election for President,Held
"March 24, 2019",Kingdom of Thailand,Election for Sapha Phuthaen Ratsadon (Thai House of Representatives),Held
"March 16, 2019",Slovak Republic,Election for President,Held
"March 10, 2019",Republic of Guinea-Bissau,Election for Assembleia Nacional Popular (Bissau-Guinean People's National Assembly),Held
"March 5, 2019",Federated States Of Micronesia,Election for Congress of the Federated States of Micronesia,Held
"March 5, 2019",Federated States Of Micronesia,Referendum,Held
"March 3, 2019",Republic of Estonia,Election for Riigikogu (Estonian Parliament),Held
"Feb. 25, 2019",British Virgin Islands,Election for British Virgin Islands House of Assembly,Held
"Feb. 24, 2019",Republic of Senegal,Election for President,Held
"Feb. 24, 2019",Republic of Cuba,Referendum,Held
"Feb. 24, 2019",Republic of Moldova,Election for Parlament (Moldovan Parliament),Held
"Feb. 23, 2019",Federal Republic of Nigeria,Election for President,Held
"Feb. 23, 2019",Federal Republic of Nigeria,Election for Nigerian House of Representatives,Held
"Feb. 23, 2019",Federal Republic of Nigeria,Election for Nigerian Senate,Held
"Feb. 10, 2019",Swiss Confederation,Referendum,Held
"Feb. 3, 2019",Republic of El Salvador,Election for President,Held
"Jan. 21, 2019",Republic of the Philippines,Referendum,Held
"Dec. 30, 2018",Democratic Republic of the Congo,Election for Assemblée Nationale (Congolese National Assembly),Held
"Dec. 30, 2018",Democratic Republic of the Congo,Election for President,Held
"Dec. 30, 2018",People's Republic of Bangladesh,Election for Jatiya Sangsad (Bangladeshi National Parliament),Held
"Dec. 27, 2018",Republic of Ghana,Referendum,Held
"Dec. 20, 2018",Togolese Republic,Election for Assemblée nationale (Togolese National Assembly),Held
"Dec. 19, 2018",Republic of Madagascar,Election for President,Held
"Dec. 9, 2018",Republic of Peru,Referendum,Held
"Dec. 9, 2018",Republic of Armenia,Election for Azgayin Zhoghov (Armenian National Assembly),Held
"Dec. 1, 2018",Kingdom of Bahrain,Election for Majlis Al-Nuwab (Bahraini Council of Representatives),Held
"Nov. 28, 2018",Georgia,Election for President,Held
"Nov. 25, 2018",Swiss Confederation,Referendum,Held
"Nov. 24, 2018",Kingdom of Bahrain,Election for Majlis Al-Nuwab (Bahraini Council of Representatives),Held
"Nov. 14, 2018",Republic of Fiji,Election for Fijian Parliament,Held
"Nov. 7, 2018",Republic of Madagascar,Election for President,Held
"Nov. 6, 2018",Territory of Guam,Election for Liheslaturan Guåhan (Legislature of Guam),Held
"Nov. 6, 2018",United States of America,Election for US House of Representatives,Held
"Nov. 6, 2018",Territory of Guam,Election for Non-Voting Delegate to US House of Representatives,Held
"Nov. 6, 2018",United States of America,Election for US Senate,Held
"Nov. 4, 2018",Territory of New Caledonia and Dependencies,Referendum,Held
"Oct. 28, 2018",Georgia,Election for President,Held
"Oct. 28, 2018",Federative Republic of Brazil,Election for President,Held
"Oct. 27, 2018",Gabonese Republic,Election for Assemblée Nationale (Gabonese National Assembly),Held
"Oct. 26, 2018",Ireland,Election for President,Held
"Oct. 26, 2018",Ireland,Referendum,Held
"Oct. 20, 2018",Islamic Republic of Afghanistan,Election for Wolesi Jirga (Afghani House of People),Held
